recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
Dry Brine Turkey,15 mins, 2 hrs 30 mins,3 days 9 hrs 30 mins,"whole turkey, neck and giblets removed,kosher salt,freshly ground black pepper to taste,onion, cut into wedges,celery, halved"," Pat turkey dry with paper towels. Season inside and outside of turkey with kosher salt, focusing on breast and thighs. Place turkey, breast-side up, in the roasting pan and cover with plastic wrap. Refrigerate turkey for about 2 days.
, Flip turkey breast-side down, cover with plastic wrap, and refrigerate for about 1 more day.
, Remove plastic wrap and place turkey on a rack over a baking sheet the night before you plan to roast. Allow turkey to air-dry in the refrigerator for at least 8 hours.
, Bring turkey to room temperature, 1 to 2 hours; pat dry with paper towels. Season turkey with black pepper and place onion and celery in the cavity.
, Preheat oven to 425 degrees F (220 degrees C). Place turkey, breast-side down, in a roasting pan.
, Roast in the preheated oven until skin is golden, about 30 minutes. Remove turkey from oven and flip to breast-side up. Reduce oven temperature to 325 degrees F (165 degrees C); continue roasting until an instant-read thermometer inserted into the thickest part of the thigh reads 165 degrees F (74 degrees C), about 2 hours.
, Transfer turkey to a large platter and loosely tent with aluminum foil; allow turkey to rest about 30 minutes before carving.
",684,32g ,1g ,92g 
Orange Turkey Brine,15 mins,15 mins, 8 hrs,"frozen orange juice concentrate, thawed,orange, sliced,lemon, sliced,lime, sliced,dried thyme,ground black pepper,garlic,bay leaves,kosher salt,water"," Combine orange juice concentrate, orange slices, lemon slices, lime slices, thyme, pepper, garlic, bay leaves, salt, and water in a large stockpot; bring to a boil. Remove from heat and allow to cool to room temperature.
, Wash and dry your turkey. Make sure you have removed the innards. Place the turkey, breast-side down, into the brine. Make sure that the cavity gets filled. Place the stockpot in the refrigerator. For best results, allow turkey to marinate for 8 to 48 hours before cooking.
",697,2g ,177g ,13g 
Matt's Fried Turkey Brine,10 mins,5 mins, 4 hrs,"vegetable broth,kosher salt,light brown sugar,black peppercorns,whole allspice berries,chopped candied ginger,water with ice chunks,red apple, cored and sliced,onion, sliced,cinnamon stick,fresh rosemary,fresh sage,water"," Gather all ingredients.
, Combine vegetable broth, kosher salt, brown sugar, peppercorns, allspice berries, and candied ginger in a large stockpot over medium-high heat. Stir to dissolve sugar and salt; bring mixture to a boil.
, Remove from the heat and cool to room temperature. Cover and refrigerator until well chilled, at least 4 hours.
, Remove from the refrigerator and add water with ice chunks, apple and onion slices, cinnamon stick, rosemary sprigs, and sage leaves. Stir in remaining 1 cup water and brine is ready to use.
",66,1g ,14g ,1g 
Citrus Turkey Brine,20 mins, 10 hrs, 10 hrs 20 mins,"fresh, whole, bone-in skin-on turkey, rinsed and patted dry,salt,onion, cut into wedges,orange, cut into wedges,lemon, cut into wedges,garlic,bay leaves,dried thyme,ground black pepper,cold water"," Gather the ingredients.
,Dotdash Meredith Food Studios, Rub turkey all over with salt.
,Dotdash Meredith Food Studios, Place remaining salt into a large stainless steel or enameled stockpot. Add onion, orange, and lemon wedges to the pot, along with garlic, bay leaves, thyme, and pepper.
,Dotdash Meredith Food Studios, Place turkey into the pot and pour in cold water. Cover and refrigerate, 8 hours to overnight.
,Dotdash Meredith Food Studios, When ready to cook, discard brine. Rinse turkey, then pat dry and place in a roasting pan. Refrigerate, uncovered, for 2 to 3 hours. Roast, grill, or deep-fry turkey according to your favorite recipe.
,Dotdash Meredith Food Studios",732,36g ,4g ,92g 
Simple Turkey Brine,15 mins,30 mins, 10 hrs,"water,kosher salt,dark brown sugar,bay leaves,whole black peppercorns,dried rosemary,dried thyme,whole cloves"," Gather all ingredients.
,Allrecipes/Oana Ennis, Bring water to a boil in a large stockpot.
, Stir in salt and brown sugar until dissolved; return to a boil.
,Allrecipes/Oana Ennis, Add bay leaves, peppercorns, rosemary, thyme, and cloves. Reduce heat to medium-low and simmer for 15 to 20 minutes.
,Allrecipes/Oana Ennis, Remove from the heat and let cool completely before using.
,Allrecipes/Oana Ennis, Place thawed turkey into a large non-reactive container. Pour in cooled brine.
,Allrecipes/Oana Ennis, Pour in enough cool water to cover turkey with liquid. Refrigerate 8 to 12 hours.
,Allrecipes/Oana Ennis, Remove turkey from brine and let sit on counter for about 2 hours.
,Allrecipes/Oana Ennis, Follow your favorite recipe to cook your turkey.
",44,0g ,11g ,0g 
Turkey Brine,5 mins,5 mins, 8 hrs 30 mins,"vegetable broth,sea salt,crushed dried rosemary,dried sage,dried thyme,dried savory,ice water"," Gather all ingredients.
,Dotdash Meredith Food Studios, Combine vegetable broth, sea salt, rosemary, sage, thyme, and savory in a large stockpot. Bring to a boil, stirring frequently to be sure salt is dissolved. Remove from heat, and let cool to room temperature.
,Dotdash Meredith Food Studios, When broth mixture is cool, pour it into a clean food-grade 5-gallon bucket. Stir in the ice water.
, Rinse and dry your turkey. Make sure you have removed the innards. Place turkey, breast-side down, into the brine. Make sure that the cavity gets filled. Place the bucket in the refrigerator for 8 hours, or overnight.
,Dotdash Meredith Food Studios, Remove turkey carefully, draining off excess brine and pat dry. Discard excess brine.
, Cook turkey as desired reserving the drippings for gravy. Keep in mind that brined turkeys cook 20 to 30 minutes faster so watch the temperature gauge.
,Dotdash Meredith Food Studios, Enjoy!
,DOTDASH MEREDITH FOOD STUDIOS",3,0g ,1g ,0g 
Tuna Avocado Salad,10 mins,10 mins,2 ,"avocados,light tuna (such as Century®),tomatoes, chopped,chopped fresh cilantro, or to taste,ground black pepper,chili powder, or more to taste ,salt to taste"," Scoop out avocado contents and place in a bowl. Set aside shells.
, Mix in tuna, tomatoes, cilantro, pepper, chili powder, and salt. Divide mixture between shells to serve.
",417,30g ,22g ,21g 
Tuna Casserole III,10 mins,10 mins,5 mins,"condensed cream of mushroom soup,tuna, drained and flaked,crushed potato chips"," Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch glass pie dish.
, In a mixing bowl, combine soup, tuna, and 1/4 of the potato chips. Mix thoroughly. Pour into the prepared pie dish. Cover the top with remaining potato chips.
, Bake in the preheated oven until potato chips on top start to brown, 10 to 15 minutes. Cool before serving.
",465,28g ,34g ,22g 
Mediterranean-Style Skillet Tuna Casserole,25 mins,50 mins, 1 hr 15 mins,"farfalle (bow tie) pasta,olive oil,thinly sliced onion,garlic, minced,chunk light tuna in water, drained and flaked,water,dried cranberries,sun-dried tomatoes, chopped,pitted Kalamata olives, halved,pine nuts (Optional),chopped fresh parsley,finely shredded Parmesan cheese,coarsely torn fresh basil"," Preheat the oven to 350 degrees F (175 degrees C).
, Bring a large pot of lightly salted water to a boil. Cook bow-tie pasta at a boil, stirring occasionally, until tender yet firm to the bite, about 12 minutes.
, Meanwhile, heat oil in a large, oven-proof skillet over medium heat. Add onion and garlic and cook in the hot oil, stirring occasionally, until onion is tender, 5 to 7 minutes.
, Add tuna, water, cranberries, tomatoes, olives, pine nuts, and parsley. Stir in cooked pasta.
, Transfer the skillet to the preheated oven and bake, covered, for 25 minutes. Uncover and sprinkle with Parmesan cheese. Bake, uncovered, until heated through and cheese melted, about 5 more minutes.
, Sprinkle with basil before serving.
",300,10g ,33g ,22g 
Tangy Tomato Tuna Casserole,15 mins,45 mins, 1 hr,"elbow macaroni,tomato sauce,tuna, drained,cottage cheese,onion, minced,cream cheese, softened,sour cream,salt (Optional),bread crumbs,butter, melted"," Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain.
, Preheat oven to 350 degrees F (175 degrees C). Butter a 2 1/2-quart casserole dish.
, Mix macaroni, tomato sauce, tuna, cottage cheese, onion, cream cheese, sour cream, and salt together in the prepared casserole dish. Stir bread crumbs and butter together in a bowl; spread over tuna mixture.
, Bake in the preheated oven until casserole is cooked through and bubbling, 35 to 40 minutes.
",434,16g ,42g ,30g 
Best Tuna Noodle Casserole from Scratch,20 mins,50 mins, 1 hr 10 mins,"tuna steaks,fettuccine noodles,butter, divided,onion, diced,sliced portobello mushrooms,flour,milk,chicken bouillon concentrate (such as Better than Bouillon®),adobo seasoning,black pepper,grated Parmesan cheese,bread, torn into small pieces"," Preheat the oven to 350 degrees F (175 degrees C). Lightly oil an ovenproof skillet and an 8x12-inch casserole dish.
, Place tuna in the prepared skillet and bake in the preheated oven until fish flakes easily with a fork, 8 to 10 minutes.
, Fill a large saucepan with lightly salted water and bring to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes. Drain and set aside.
, Remove tuna from the oven; leave oven on.
, Meanwhile, melt 3 tablespoons butter in a saucepan over medium heat. Cook onion and mushrooms until softened, stirring occasionally, 5 to 7 minutes. Stir in flour until blended. Add milk, bouillon concentrate, adobo seasoning, and black pepper. Cook, stirring constantly, until mixture is slightly thickened, about 5 minutes more. Remove sauce from heat and stir in Parmesan cheese.
, Place remaining butter in a medium-sized microwave-safe bowl and heat in the microwave until melted, about 30 seconds. Stir bread crumbs into melted butter and set aside.
, Add cooked fettuccine and flaked tuna to the cheese sauce and toss to combine. Transfer noodle mixture to the prepared casserole dish and top with torn bread.
, Bake in the hot oven until golden brown, about 20 minutes.
",655,25g ,73g ,36g 
Fern's Tuna Casserole,15 mins,40 mins,55 mins,"egg noodles,condensed cream of mushroom soup,whole milk,tuna,processed cheese food (such as Velveeta®),crushed potato chips, or as needed"," Bring a large pot of lightly salted water to a boil. Cook egg noodles in the boiling water, stirring occasionally until cooked through but firm to the bite, about 5 minutes. Drain.
, Preheat oven to 350 degrees F (175 degrees C).
, Combine mushroom soup, milk, and tuna in a saucepan over medium heat; cook until well blended and warmed through, about 5 minutes. Pour mixture into a 9x13-inch baking dish; add noodles and mix well. Top noodles with cheese food and sprinkle potato chips over cheese.
, Bake in the preheated oven until casserole is bubbling, 30 to 45 minutes.
",334,15g ,33g ,18g 
Cheesy Tuna and Zucchini Noodle Casserole,25 mins,50 mins, 2 hrs,"zucchini, spiralized,cooking spray,salted butter,chopped onion,garlic, crushed,cream cheese, softened,tuna, drained,frozen peas,shredded sharp Cheddar cheese,salt and ground black pepper to taste,sliced almonds, or to taste"," Place spiralized zucchini (zoodles) into a pot and cover with well salted water; bring to a boil. Boil for 3 to 4 minutes, then empty into a colander to drain. Let drain for 2 to 3 hours, occasionally pressing out as much moisture as you can.
, Preheat the oven to 375 degrees F (190 degrees C). Lightly spray a 9x13-inch glass casserole with cooking spray and add drained zoodles.
, Bake zoodles in the preheated oven for 10 minutes.
, Meanwhile, melt butter in a skillet over medium heat. Add onion and cook until soft and translucent, about 5 minutes. Add garlic and cook until softened, about 1 minute. Add cream cheese and cook until softened, about 2 minutes.
, Remove zoodles from the oven and pour off any liquid. Add the skillet mixture to the zoodles, along with tuna, peas, Cheddar cheese, salt, and pepper. Stir until well combined. Sprinkle almonds on top.
, Bake until cheese is melted and bubbly, about 30 minutes.
",314,21g ,10g ,23g 
Mom's Tuna Casserole with Ritz® Cracker Topping,15 mins,30 mins,45 mins,"egg noodles,butter, or more to taste,onion, diced,bacon, diced,tuna, drained and flaked,all-purpose flour,chicken stock,milk,mayonnaise,soy sauce,shredded Cheddar cheese,frozen corn,chopped celery,chopped cashews,salt,ground black pepper,buttery round crackers (such as Ritz®), crushed"," Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch casserole dish.
, Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes.
, At the same time, melt 1/4 cup butter in a skillet over medium heat. Add onion and bacon and cook until onion is tender and bacon is crisp, 8 to 10 minutes. Add flour; cook and stir for 2 minutes. Whisk in chicken stock, milk, mayonnaise, and soy sauce until combined. Remove from the heat and transfer sauce mixture to a large bowl.
, Drain pasta and add to the sauce mixture. Stir in Cheddar cheese, corn, celery, cashews, salt, and pepper. Transfer to the prepared casserole dish and spread crushed Ritz® crackers over top.
, Bake in the preheated oven until heated through, 15 to 20 minutes.
",569,30g ,53g ,24g 
Tuna Garden Casserole,30 mins,25 mins,55 mins,"penne pasta,olive oil,onion, chopped,celery, chopped,red bell pepper, chopped,garlic, crushed,salt, to taste,ground black pepper, to taste,sherry,kale, stems removed and leaves coarsely chopped,potato leek soup,vegetable broth,tuna packed in water, drained,shredded mozzarella cheese,herb seasoned bread crumbs"," Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 2 quart casserole dish.
, Bring a large pot of salted water to a boil, add penne pasta, and cook 10 minutes or until al dente; drain.
, Heat the oil in a large wok or skillet over medium-high heat. Mix in onion and cook 5 minutes. Stir in the celery and bell pepper and continue cooking for another five minutes. Mix in the garlic, salt and pepper and continue cooking 3 minutes. Pour in sherry; stir in the kale and cover. Reduce heat to medium and cook for 5 minutes, stirring occasionally, until the kale has wilted.
, Transfer wok mixture to a large bowl. Mix in the cooked pasta, soup, vegetable broth, and tuna. Pour mixture into the prepared casserole dish. Top with a layer of mozzarella followed by a layer of bread crumbs. Bake uncovered in the preheated oven for 25 minutes.
",284,8g ,39g ,14g 
Curry Tuna and Rice Casserole,15 mins,30 mins,5 mins,"cream of celery soup,non-fat milk,curry powder,mustard powder,cooked white rice,tuna, drained,onion, chopped,bread crumbs,butter, melted,dried parsley,hard-boiled eggs, sliced"," Preheat oven to 350 degrees F (175 degrees C).
, Mix cream of celery soup, milk, curry powder, and mustard powder in a large bowl. Stir rice, tuna, and onion into the soup mixture; transfer to a casserole dish.
, Mix bread crumbs, melted butter, and parsley in a bowl; sprinkle over tuna mixture.
, Bake casserole in preheated oven until bread crumb mixture is golden brown, about 25 minutes; top with sliced eggs and return to over to bake another 5 minutes. Let casserole cool 5 minutes before serving.
",362,11g ,38g ,27g 
Tuna and Rice Casserole,15 mins, 1 hr 30 mins,10 mins,"cooking spray,milk,condensed cream of celery soup,condensed cream of mushroom soup,tuna, drained,uncooked rice,chopped celery,diced onion,diced bell pepper,minced garlic,dried oregano,dried parsley,ground black pepper,salt"," Preheat the oven to 350 degrees F (175 degrees C). Spray a 2-quart casserole dish with cooking spray.
, Combine milk, both soups, tuna, rice, celery, onion, bell pepper, garlic, oregano, parsley, black pepper, and salt in a large bowl and mix until well incorporated. Pour into the prepared dish and cover with aluminum foil.
, Bake in the preheated oven until rice is tender, about 1 hour and 30 minutes. Let cool slightly before serving, about 10 minutes.
",307,7g ,43g ,17g 
Healthier Tuna Noodle Casserole,20 mins,50 mins, 1 hr 10 mins,"cooking spray,whole-grain bow-tie pasta,olive oil,sliced cremini mushrooms,chopped onion,chopped celery,chopped red bell pepper,chopped carrot,light Alfredo sauce (such as Classico® Light Creamy Alfredo),light sour cream,grated Parmesan cheese,snipped fresh dill,ground black pepper,solid white tuna (water pack), drained and broken into chunks,whole wheat panko bread crumbs,lemon wedges (Optional)"," Preheat the oven to 375 degrees F (190 degrees C). Coat a 2-quart baking dish with nonstick spray.
, Bring a large pot of lightly salted water to a boil. Cook bow-tie pasta at a boil, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain and set aside.
, Meanwhile, heat oil in a large skillet over medium heat. Add mushrooms, onion, celery, bell pepper, and carrot; cook until vegetables are tender, about 8 minutes.
, Whisk together Alfredo sauce, sour cream, 2 tablespoons Parmesan, dill, and black pepper in a large bowl. Stir in cooked pasta, vegetables, and tuna until combined. Transfer to the prepared dish. In a small bowl, stir together panko and remaining 2 tablespoons Parmesan; sprinkle over casserole. Lightly coat with nonstick spray.
, Bake in the preheated oven, uncovered, until browned and bubbly, about 25 minutes. Serve with lemon wedges.
",544,22g ,62g ,28g 
Quick Tuna Casserole,5 mins,20 mins,25 mins,"macaroni and cheese mix ,condensed cream of mushroom soup,tuna, drained,peas, drained"," Prepare macaroni and cheese mix according to package directions. Stir in the cream of mushroom soup, tuna and peas. Mix well, and heat until bubbly.
",363,7g ,46g ,28g 
Skillet Tuna Casserole,20 mins,35 mins,55 mins,"yolk-free egg noodles (such as No Yolks®),butter,cremini mushrooms, thinly sliced,peas,yellow onion, chopped,kosher salt,freshly ground black pepper to taste,cayenne pepper,all-purpose flour,whole milk,low-sodium chicken broth,grated white Cheddar cheese,water-packed tuna, drained and flaked,grated Parmesan cheese, divided,chopped fresh parsley,chopped fresh dill,chopped fresh chives,lemon juice,panko bread crumbs,butter, melted"," Preheat the oven to 375 degrees F (190 degrees C).
, Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 10 to 12 minutes. Drain.
, While the egg noodles are cooking, melt 2 tablespoons butter in a large, oven-safe skillet over medium heat. Add mushrooms, peas, and onion and cook, stirring occasionally, until slightly softened, about 5 minutes. Season with salt, pepper, and cayenne.
, Sprinkle flour over the vegetables; cook and stir for 2 minutes. Add milk and chicken broth and bring to a simmer. Cook until thickened, 2 to 3 minutes. Remove from the heat.
, Add drained egg noodles to the vegetable mixture, along with Cheddar cheese, tuna, 1/4 cup Parmesan cheese, parsley, dill, chives, and lemon juice; stir until well combined.
, Combine remaining 1/4 cup Parmesan with panko and 1 tablespoon melted butter. Sprinkle over the casserole.
, Bake in the preheated oven until golden and bubbly, 17 to 19 minutes.
",524,23g ,44g ,35g 
Tuna Noodle Casserole with Bechamel Sauce,15 mins, 1 hr 10 mins, 1 hr 25 mins,"penne pasta,salted butter, divided,all-purpose flour,cold milk,dried minced onion,bay leaves,cayenne pepper,salt, divided,tuna in water, drained,frozen peas,grated Colby-Jack cheese,freshly ground black pepper,bread, cut into 1/2-inch pieces,grated Parmesan cheese"," Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, for 2 minutes less than directed on the package, about 9 minutes. Drain penne, reserving 1 cup pasta water, rinse, and set aside.
, Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch casserole dish.
, Melt 3 tablespoons butter in a large, shallow saute pan. Stir in flour and continue stirring until golden, about 3 minutes. Gradually whisk in milk. Add minced onion, bay leaves, and cayenne pepper. Continue cooking until bechamel sauce thickens, 10 to 15 minutes. Season with 1/4 teaspoon salt.
, Place the cooked pasta into a large bowl. Add bechamel sauce and mix well. Crumble the drained tuna over the pasta. Add peas and Colby-Jack cheese; mix. Thin the mixture with 2 to 4 tablespoons of the reserved pasta water. Season with pepper and remaining salt. Transfer to the prepared casserole dish.
, Melt remaining 2 tablespoons butter. Add bread cubes; mix well until bread is completely coated. Stir in Parmesan cheese. Top casserole with this bread mixture and cover tightly with aluminum foil.
, Bake in the preheated oven for 30 minutes. Remove foil and continue baking until top is browned and golden, about 10 minutes more.
",430,19g ,38g ,27g 
Easy Tuna Noodle Casserole,15 mins,45 mins, 1 hr,"fusilli pasta,butter,all-purpose flour,milk,shredded Cheddar cheese, divided,lemon juice,mustard powder,salt and ground black pepper to taste,tuna packed in water, drained and flaked,dry bread crumbs"," Preheat the oven to 350 degrees F (175 degrees C).
, Bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.
, Meanwhile, melt butter in a saucepan over medium heat. Whisk in flour, stirring constantly for about 1 minute. Remove from heat and gradually pour in milk, whisking constantly the entire time to avoid lumps from forming. Return to heat and cook, stirring constantly, until slightly thickened, about 2 minutes. Stir in 1/2 of the Cheddar cheese. Add lemon juice, mustard powder, salt, and pepper and mix well.
, Drain fusilli and fold into the sauce. Mix in tuna. Pour mixture into an 8-inch casserole dish and sprinkle with breadcrumbs. Top with remaining Cheddar cheese.
, Bake in the preheated oven until cheese is melted and golden, about 30 minutes.
",613,25g ,48g ,49g 
Grandma's Tuna Casserole,20 mins,25 mins,45 mins,"egg noodles,tuna, drained and flaked, or more to taste,sour cream,milk, divided,dry onion soup mix (such as Lipton®),Worcestershire sauce,garlic powder, or to taste,seasoned salt (such as LAWRY'S®), or more to taste,salt and ground black pepper to taste,butter, cut into small pieces, divided,ridged potato chips (such as Ruffles®),shredded mozzarella cheese (Optional)"," Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain.
, Mix cooked noodles with tuna, sour cream, 1/4 cup milk, onion soup mix, Worcestershire sauce, garlic powder, seasoned salt, salt, and pepper. Taste and adjust seasonings as desired.
, Lay 1/2 of the butter across the bottom of a 2-quart, microwave-safe casserole dish. Crush potato chips, then sprinkle 1/4 of the crushed chips over the bottom and press to flatten.
, Spread the tuna-noodle mixture in a single layer over the crushed chips. Layer with 1/2 of the mozzarella, 2/3 of the remaining chips, followed by the remaining butter, chips, milk, and mozzarella.
, Microwave on high until casserole is hot and cheese is melted, about 10 minutes.
",412,18g ,48g ,13g 
Tuna Mushroom Casserole,10 mins,53 mins, 1 hr 3 mins,"bow tie pasta,tuna, drained,mushrooms, drained,condensed cream of mushroom soup,milk,salt,freshly ground black pepper,dry bread crumbs,melted butter,dried thyme, crushed"," Preheat oven to 350 degrees F (175 degrees C). Grease a 1-quart casserole dish.
, Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
, In a mixing bowl, combine mushroom soup, milk, salt, and pepper. Mix thoroughly. Then add tuna, mushrooms, and pasta. Mix thoroughly. Pour mixture into the greased casserole dish.
, In another mixing bowl, combine bread crumbs, butter, and thyme. Mix well. Sprinkle over the top of the tuna mixture.
, Bake uncovered in a preheated oven until bubbling and golden brown, about 40 minutes.
",298,12g ,31g ,18g 
Tuna Stroganoff Casserole,10 mins,45 mins,55 mins,"condensed cream of celery soup,grated Cheddar cheese,milk,sour cream,mayonnaise,tuna, drained,chopped parsley,lemon juice,salt,ground black pepper,cooked pasta,bread crumbs, or to taste"," Preheat oven to 350 degrees F (175 degrees C).
, Combine cream of celery soup, Cheddar cheese, milk, sour cream, mayonnaise, tuna, parsley, lemon juice, salt, and ground black pepper in a 9x5-inch loaf pan; stir until sauce is well mixed.
, Toss the pasta into the sauce until thoroughly coated. Spread the bread crumbs over the top of the pasta mixture.
, Bake in the preheated oven until bread crumbs are golden brown and sauce is bubbly, about 45 minutes.
",583,32g ,50g ,25g 
Tuna-Tomato Noodle Casserole,10 mins,45 mins,55 mins,"chopped onion,vegetable oil,condensed tomato soup,chili powder,salt,Worcestershire sauce,egg noodles,shredded sharp Cheddar cheese,tuna, drained"," Cook noodles in a pot of boiling water until done. Drain.
, In a large skillet, saute onion in oil. Add undiluted soup, chili powder, salt, and Worcestershire sauce. Simmer 5 minutes. Mix in noodles, 1 cup cheese, and tuna. Spoon into a greased 1 quart casserole dish.
, Bake at 350 degrees F (175 degrees C) for 30 minutes. While still hot, sprinkle with remaining 1/4 cup cheese.
",353,20g ,22g ,22g 
Tuna Noodle Casserole with Mushrooms,10 mins,35 mins,45 mins,"penne pasta,butter, or more to taste,sliced fresh mushrooms,onion, finely chopped,all-purpose flour,milk,frozen peas,frozen sweet corn,tuna, drained,shredded Cheddar cheese"," Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes.
, Preheat the oven to 400 degrees F (200 degrees C).
, Meanwhile, melt butter in a large skillet over medium heat and cook mushrooms and onion until softened, about 5 minutes. Stir in flour and cook for 1 minute. Slowly whisk in milk. Add peas and corn. Simmer, stirring occasionally, until sauce thickens, about 5 minutes. Add tuna and 1/2 of the Cheddar cheese and mix to combine.
, Drain penne and fold into the sauce. Spread in a large baking dish.
, Bake in the preheated oven until cheese is melted and the top is golden, 20 to 30 minutes.
",502,16g ,59g ,33g 
Easy Slow Cooker Tuna Casserole,10 mins, 5 hrs, 5 hrs 10 mins,"nonstick cooking spray,2% milk ,condensed cream of mushroom soup (such as Campbell's®),garlic, diced,tuna,shredded mild Cheddar cheese,chopped fresh mushrooms,uncooked macaroni pasta,salt and ground black pepper to taste"," Spray a slow cooker with nonstick spray to coat.
, Combine milk, condensed soup, and garlic in the slow cooker. Stir in tuna, Cheddar cheese, then mushrooms. Add macaroni, season with salt and pepper, and stir to mix.
, Cover and cook on Low until pasta is very soft, 5 to 6 hours.
",489,17g ,54g ,28g 
Tuna Noodle Casserole III,5 mins,30 mins,35 mins,"wide egg noodles,butter, cubed,American cheese,tuna, drained,condensed cream of mushroom soup,bread crumbs"," Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
, In a 1 1/2 quart glass casserole dish, layer noodles, butter cubes, 2 slices of cheese, 1/2 of the tuna, and 1/2 of the soup. Repeat the layering with the remaining ingredients. Top the casserole with bread crumbs.
, Bake at 350 degrees F (175 degrees C) for 10 to 15 minutes.
",551,28g ,50g ,25g 
Cheesy Tuna Noodle Casserole,20 mins,35 mins,55 mins,"egg noodles,vegetable oil,chopped onion,chopped green bell pepper,chopped red bell pepper,condensed cream of Cheddar cheese soup,tuna, drained,milk,salt,ground black pepper to taste,Italian seasoned bread crumbs"," Preheat the oven to 350 degrees F (175 degrees C).
, Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes.
, While the noodles are cooking, heat oil in a medium saucepan over medium heat. Sauté onion and bell peppers in the hot oil until tender, 5 to 7 minutes.
, Pour condensed soup into the saucepan. Add tuna, milk, salt, and pepper; mix until well combined. Reduce heat to medium-low.
, Drain egg noodles well. Fold noodles into the tuna mixture until well coated. Transfer to a 2-quart casserole and sprinkle bread crumbs over top.
, Bake in the preheated oven until the top is crisp and golden brown, 20 to 30 minutes.
",373,12g ,49g ,17g 
Tuna and Vegetable Casserole,20 mins,30 mins,50 mins,"egg noodles,1-inch pieces fresh-cut green beans,bite-size summer squash pieces,frozen peas,sliced carrots,olive oil,sliced fresh mushrooms,condensed cream of mushroom soup,2% milk ,albacore tuna, drained and broken into chunks,onion, chopped,shredded Cheddar cheese,Worcestershire sauce,salt and ground black pepper to taste,French-fried onions (such as French's®)"," Bring a large pot of lightly salted water to a boil. Cook egg noodles in boiling water, occasionally stirring until cooked through but firm to the bite, about 5 minutes. Drain.
, Preheat the oven to 425 degrees F (220 degrees C).
, Combine green beans, squash, peas, and carrots in a microwave-safe glass or ceramic bowl; cook until tender, 3 to 10 minutes. Rinse vegetables with cold water and drain.
, Heat olive oil in a skillet over medium-high heat; sauté mushrooms in hot oil until tender, 5 to 7 minutes.
, Whisk mushroom soup and milk together in a large bowl; add vegetables, mushrooms, tuna, onion, and Cheddar cheese. Mix in Worcestershire sauce, salt, and black pepper. Pour mixture into a casserole dish and top with French fried onions.
, Bake in the preheated oven until bubbling, about 20 minutes.
",398,21g ,38g ,14g 
Grandma's Tuna Casserole with Potato Chips and No Noodles,10 mins,30 mins,40 mins,"large, ridged potato chips (such as Ruffles®),green beans, drained,condensed cream of mushroom soup,water-packed tuna, drained and flaked"," Preheat the oven to 350 degrees F (175 degrees C).
, Crush potato chips into a large bowl. Add green beans, condensed soup, and tuna and mix until well combined. Pack into a 10x14-inch casserole dish.
, Bake in the preheated oven until the top is crispy, about 30 minutes.
",511,33g ,44g ,13g 
Hearty Tuna Casserole,15 mins,45 mins, 1 hr,"cooking spray,uncooked egg noodles,tuna, drained,chopped celery,chopped green onions,mayonnaise,sour cream,prepared mustard,dried thyme,salt,zucchini, thinly sliced,shredded Monterey Jack cheese,tomato, chopped"," Preheat the oven to 350 degrees F (175 degrees C). Spray a 2-quart casserole dish with cooking spray.
, Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain and transfer to a large mixing bowl.
, Add tuna, celery, and green onions to the noodles. Stir in mayonnaise, sour cream, mustard, thyme, and salt until well combined.
, Spoon 1/2 of the noodle mixture into the prepared casserole dish, then layer 1/2 of the zucchini slices over top. Repeat layers once more, then sprinkle Monterey Jack cheese over the entire casserole.
, Bake in the preheated oven until hot and bubbly, about 30 minutes.
, Remove from the oven and sprinkle with chopped tomato before serving.
",356,25g ,16g ,19g 
